length,run,before,after
2,1,
4,1,
8,1,
16,1,
32,1,
64,1,
128,1,
256,1,
512,1,
1024,1,
2048,1,
4096,1,
8192,1,
16384,1,
32768,1,
65536,1,
131072,1,
262144,1,
524288,1,
2,2,
4,2,
8,2,
16,2,
32,2,
64,2,
128,2,
256,2,
512,2,
1024,2,
2048,2,
4096,2,
8192,2,
16384,2,
32768,2,
65536,2,
131072,2,
262144,2,
524288,2,
2,3,
4,3,
8,3,
16,3,
32,3,
64,3,
128,3,
256,3,
512,3,
1024,3,
2048,3,
4096,3,
8192,3,
16384,3,
32768,3,
65536,3,
131072,3,
262144,3,
524288,3,
2,4,
4,4,
8,4,
16,4,
32,4,
64,4,
128,4,
256,4,
512,4,
1024,4,
2048,4,
4096,4,
8192,4,
16384,4,
32768,4,
65536,4,
131072,4,
262144,4,
524288,4,
2,5,
4,5,
8,5,
16,5,
32,5,
64,5,
128,5,
256,5,
512,5,
1024,5,
2048,5,
4096,5,
8192,5,
16384,5,
32768,5,
65536,5,
131072,5,
262144,5,
524288,5,
